Dates,variable,feature_no,feature_name,value
01/10/17 00:00,1,358,"340,44",
02/10/17 00:00,1,358,"340,44",
03/10/17 00:00,1,358,"340,44",
04/10/17 00:00,1,358,"340,44",
05/10/17 00:00,1,358,"340,44",
06/10/17 00:00,1,358,"340,44",
07/10/17 00:00,1,358,"340,44",
08/10/17 00:00,1,358,"340,44","577,39"
09/10/17 00:00,1,358,"340,44","95,38"
10/10/17 00:00,1,358,"340,44",
11/10/17 00:00,1,358,"340,44",
12/10/17 00:00,1,358,"340,44",
13/10/17 00:00,1,358,"340,44",
14/10/17 00:00,1,358,"340,44",
15/10/17 00:00,1,358,"340,44",
16/10/17 00:00,1,358,"340,44",
17/10/17 00:00,1,358,"340,44",
18/10/17 00:00,1,358,"340,44",
19/10/17 00:00,1,358,"340,44",
20/10/17 00:00,1,358,"340,44",
21/10/17 00:00,1,358,"340,44",
22/10/17 00:00,1,358,"340,44",
23/10/17 00:00,1,358,"340,44",
24/10/17 00:00,1,358,"340,44",
25/10/17 00:00,1,358,"340,44",
26/10/17 00:00,1,358,"340,44",
27/10/17 00:00,1,358,"340,44",
28/10/17 00:00,1,358,"340,44",
29/10/17 00:00,1,358,"340,44",
30/10/17 00:00,1,358,"340,44",
31/10/17 00:00,1,358,"340,44",
01/11/17 00:00,1,358,"340,44",
02/11/17 00:00,1,358,"340,44",
03/11/17 00:00,1,358,"340,44",
04/11/17 00:00,1,358,"340,44",
05/11/17 00:00,1,358,"340,44",
06/11/17 00:00,1,358,"340,44",
07/11/17 00:00,1,358,"340,44",
08/11/17 00:00,1,358,"340,44",
09/11/17 00:00,1,358,"340,44",
10/11/17 00:00,1,358,"340,44",
11/11/17 00:00,1,358,"340,44",
12/11/17 00:00,1,358,"340,44",
13/11/17 00:00,1,358,"340,44",
14/11/17 00:00,1,358,"340,44",
15/11/17 00:00,1,358,"340,44",
16/11/17 00:00,1,358,"340,44",
17/11/17 00:00,1,358,"340,44",
18/11/17 00:00,1,358,"340,44",
19/11/17 00:00,1,358,"340,44",
20/11/17 00:00,1,358,"340,44",
21/11/17 00:00,1,358,"340,44",
22/11/17 00:00,1,358,"340,44",
23/11/17 00:00,1,358,"340,44",
24/11/17 00:00,1,358,"340,44",
25/11/17 00:00,1,358,"340,44",
26/11/17 00:00,1,358,"340,44",
27/11/17 00:00,1,358,"340,44",
28/11/17 00:00,1,358,"340,44",
29/11/17 00:00,1,358,"340,44",
30/11/17 00:00,1,358,"340,44",
01/10/18 00:00,1,358,"340,44",
02/10/18 00:00,1,358,"340,44",
03/10/18 00:00,1,358,"340,44",
04/10/18 00:00,1,358,"340,44",
05/10/18 00:00,1,358,"340,44",
06/10/18 00:00,1,358,"340,44",
07/10/18 00:00,1,358,"340,44","143,52"
08/10/18 00:00,1,358,"340,44",
09/10/18 00:00,1,358,"340,44",
10/10/18 00:00,1,358,"340,44",
11/10/18 00:00,1,358,"340,44",
12/10/18 00:00,1,358,"340,44",
13/10/18 00:00,1,358,"340,44",
14/10/18 00:00,1,358,"340,44",
15/10/18 00:00,1,358,"340,44",
16/10/18 00:00,1,358,"340,44",
17/10/18 00:00,1,358,"340,44",
18/10/18 00:00,1,358,"340,44",
19/10/18 00:00,1,358,"340,44",
20/10/18 00:00,1,358,"340,44",
21/10/18 00:00,1,358,"340,44",
22/10/18 00:00,1,358,"340,44",
23/10/18 00:00,1,358,"340,44",
24/10/18 00:00,1,358,"340,44",
25/10/18 00:00,1,358,"340,44",
26/10/18 00:00,1,358,"340,44",
