01/10/17 00:00;02/10/17 00:00;03/10/17 00:00;04/10/17 00:00;05/10/17 00:00;06/10/17 00:00;07/10/17 00:00;08/10/17 00:00;09/10/17 00:00;10/10/17 00:00;11/10/17 00:00;12/10/17 00:00;13/10/17 00:00;14/10/17 00:00;15/10/17 00:00;16/10/17 00:00;17/10/17 00:00;18/10/17 00:00;19/10/17 00:00;20/10/17 00:00;21/10/17 00:00;22/10/17 00:00;23/10/17 00:00;24/10/17 00:00;25/10/17 00:00;26/10/17 00:00;27/10/17 00:00;28/10/17 00:00;29/10/17 00:00;30/10/17 00:00;31/10/17 00:00;01/11/17 00:00;02/11/17 00:00;03/11/17 00:00;04/11/17 00:00;05/11/17 00:00;06/11/17 00:00;07/11/17 00:00;08/11/17 00:00;09/11/17 00:00;10/11/17 00:00;11/11/17 00:00;12/11/17 00:00;13/11/17 00:00;14/11/17 00:00;15/11/17 00:00;16/11/17 00:00;17/11/17 00:00;18/11/17 00:00;19/11/17 00:00;20/11/17 00:00;21/11/17 00:00;22/11/17 00:00;23/11/17 00:00;24/11/17 00:00;25/11/17 00:00;26/11/17 00:00;27/11/17 00:00;28/11/17 00:00;29/11/17 00:00;30/11/17 00:00;01/10/18 00:00;02/10/18 00:00;03/10/18 00:00;04/10/18 00:00;05/10/18 00:00;06/10/18 00:00;07/10/18 00:00;08/10/18 00:00;09/10/18 00:00;10/10/18 00:00;11/10/18 00:00;12/10/18 00:00;13/10/18 00:00;14/10/18 00:00;15/10/18 00:00;16/10/18 00:00;17/10/18 00:00;18/10/18 00:00;19/10/18 00:00;20/10/18 00:00;21/10/18 00:00;22/10/18 00:00;23/10/18 00:00;24/10/18 00:00;25/10/18 00:00;26/10/18 00:00;27/10/18 00:00;28/10/18 00:00;29/10/18 00:00;30/10/18 00:00;31/10/18 00:00;01/11/18 00:00;02/11/18 00:00;03/11/18 00:00;04/11/18 00:00;05/11/18 00:00;06/11/18 00:00;07/11/18 00:00;08/11/18 00:00;09/11/18 00:00;10/11/18 00:00;11/11/18 00:00;12/11/18 00:00;13/11/18 00:00;14/11/18 00:00;15/11/18 00:00;16/11/18 00:00;17/11/18 00:00;18/11/18 00:00;19/11/18 00:00;20/11/18 00:00;21/11/18 00:00;22/11/18 00:00;23/11/18 00:00;24/11/18 00:00;25/11/18 00:00;26/11/18 00:00;27/11/18 00:00;28/11/18 00:00;29/11/18 00:00;30/11/18 00:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;;;;;;;577,39;95,38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;143,52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;;;;;;;556,18;;116,32;;737,96;;232,64;;;;;;;;;;;;;;696,72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;551;;;;;;;;;;;;;;;;410,36;189;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,02;;;;254,06;1854,5;1268,92;2846,17;1237,24;275,32;;;;764,6;1317,96;116,32;;;;157,06;288,2;428,32;518,89;;176,78;;;303,01;862,34;225,04;750,3;;1660,7;587,48;;;;;;;;;;;;175,38;;;403,62;;599,89;123,74;;;5932,24;409,2;;346,17;;400,56;;623,9;;915,16;184,9;4473,71;4107,2;;;182,79;;;454,14;;445;;;153,1;219,51;;440,04;;;967,23;;637,94;;651,6;320,04;572;3198,87;1840,28;1015,14;572;;1324,84;;270,99;;;;622,72;;430,64;;;149,32;;;;;314,04;445,84;;453,98;805,54;957,38;;464,29;1555,39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,44;;79,48;;686,5;;859,32;354,8;712,06;232,64;;;;777,04;322,4;;314,4;633,38;909,42;2124,26;1374,9;462,03;1383,92;363,96;;;691,88;2057,16;;170,05;1482,86;;;;893,2;282,2;;2825,18;;638,72;185,2;;;;556,02;;;;;326,36;;623,42;;;;;751,8;;414,88;;442,16;161,1;378,7;381,34;1172,3;1072,84;;;296,09;423,38;;681,12;;910,2;872,4;143,78;476,74;;;427,56;;1115,36;832,56;;1205,5;1783,11;771,34;812,46;338,24;355,92;2236,97;492,9;793,57;;5585,18;1219,2;531,48;;413,8;;445,84;;;;;;;;;;;70,11;385,7;;;358,25;1223,24;;558,65;181,2;;336,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480,32;124,27;893,8;;;164,74;730,36;705,36;213,3;;;4897,84;1137,88;703,84;80,75;537;1402,06;;232,64;;1833,37;122,86;;;298,25;724,23;247,18;512,88;1219,64;;;;;;769,1;209,48;;110,78;;304,46;;;;;;;;;;;;;;;;409,2;128,07;367,42;;;;;;208,46;1820;150,94;586,92;833,33;;1405,08;;1243,3;;2200,41;;327,94;;;;;688,24;;101,29;;;;206,24;783,76;776,56;;;;221,57;2482,56;551,7;482,2;;1551,92;;;;;;1108,06;;;;;;497,18;157,01;;;;592,08;;2629,09;393,64;354,08;;100,43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2262,52;283,94;;;;;498,88;1509,38;343,28;96,92;;;;2207,06;;;247,82;485,06;;2368,54;389,56;;;1536,15;;338,54;898,14;2275,37;;275,68;604,54;;;152,56;958,55;;1218,56;;;;;;396,66;;;;;;;;332,32;;;591,34;;907,78;199,32;;;369,92;;562,9;220,44;;;;2049,64;;1055,1;467,9;;;443,81;;595,5;;632,46;233,08;;2144,2;473,96;337,38;;280;;460,32;;623,93;383,34;;551,48;388;;258,64;1256,59;746,58;184,56;;;;;1226,07;1424,39;322,92;;;;;819,32;;193,06;;;608,36;;371,56;596,08;;636,94;359,39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;613,88;;1155,5;;553,94;2107,7;;186,11;387,28;;;6883,7;;;;201;;;;;2906,29;84,18;;;;;;569,44;;2248,54;;;766,2;;;721,28;;;;;;;;;;599,89;450,54;;;;;;;;;820,88;;;136,44;;746,57;155,36;;;380,26;671,25;1682,66;;;;164,52;387,8;867,92;782,46;1673,76;;;1858,26;;559,51;;;124,53;;;1409,89;;;1218,54;;801,94;;;2912,34;474,15;;;;1322,32;;;413,8;216,84;103,55;;;;;;;161,1;;218,26;451,94;139,86;559,44;451,77;1518,22;;139,58;521,36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
822,96;;;;563,48;1041,99;;184,74;567,94;;3130,08;169,7;;236,21;741,38;278,4;;;;159,68;;165,23;;;;589,9;;607;1030,76;;;;774,4;;;270,21;1176,1;;;586,88;192,3;273,92;;191,48;;;2213,11;218,6;;;;;;;;398,68;257,5;;614,28;;729,56;350,69;1986,18;;;;1292,86;;;;;1023,76;208,08;1293,34;418,65;176,44;;1773,87;;1467,83;;334,6;;665,53;;;636,78;173,18;;;;;;;1022,85;;;;;336,86;;173,04;845,28;;;;;;;417,32;158,66;1068,03;425,16;165,08;596,08;;;782,78;;;;149,02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,1;;;1325,28;244,44;322,37;447,85;202,67;;326,98;388,32;;748,86;304,52;401,24;;;1955,9;756,24;;976,12;1457,13;;;194,78;;;3194,92;700,96;;2154,49;128,31;;;729,19;358,18;334,17;;;212,32;;;;;;;;;;;167,56;;;;610,88;;;;;;;;;;382,83;;205,78;264,18;;;;334,1;856,75;949,6;100,9;;;;;;681,08;1212,29;;;;572;447,1;;;666,4;706,18;139,28;;;;98,22;;210,09;;;337,16;;249,84;;160,92;382,08;;;;;1249,1;178,64;;372,55;;2655,52;;511,78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
